[2019-01-27 16:02:56] Generating model graph visualization at results\20190127-160256\model ...
[2019-01-27 16:02:56] Using CUDA!
[2019-01-27 16:02:58] Loading data from data\sign_mnist_train.npy ...
[2019-01-27 16:02:58] Loading data from data\sign_mnist_test.npy ...
[2019-01-27 16:02:58] Training model...
[2019-01-27 16:02:58] ===== HYPERPARAMETERS =====
[2019-01-27 16:02:58] batch_size= 128
[2019-01-27 16:02:58] epochs= 40
[2019-01-27 16:02:58] learning_rate= 0.001
[2019-01-27 16:02:58] ==============================
[2019-01-27 16:02:58] [Test] Beginning with test with 57 batches
[2019-01-27 16:03:03] [Test] Test finished, loss: 3.2186, acc: 0.0371, time: 4.99s
[2019-01-27 16:03:07] [Train] Epoch 1, 10% 	 loss: 2.6484, acc: 0.1641, time: 4.21s
[2019-01-27 16:03:08] [Train] Epoch 1, 20% 	 loss: 1.2372, acc: 0.5469, time: 1.10s
[2019-01-27 16:03:09] [Train] Epoch 1, 30% 	 loss: 0.4719, acc: 0.8828, time: 1.09s
[2019-01-27 16:03:10] [Train] Epoch 1, 40% 	 loss: 0.2132, acc: 0.9141, time: 1.09s
[2019-01-27 16:03:11] [Train] Epoch 1, 51% 	 loss: 0.0945, acc: 0.9688, time: 1.09s
[2019-01-27 16:03:12] [Train] Epoch 1, 61% 	 loss: 0.0685, acc: 0.9766, time: 1.09s
[2019-01-27 16:03:13] [Train] Epoch 1, 71% 	 loss: 0.0744, acc: 0.9766, time: 1.09s
[2019-01-27 16:03:14] [Train] Epoch 1, 81% 	 loss: 0.0070, acc: 1.0000, time: 1.10s
[2019-01-27 16:03:16] [Train] Epoch 1, 92% 	 loss: 0.0627, acc: 0.9844, time: 1.09s
[2019-01-27 16:03:17] [Test] Beginning with test with 57 batches
[2019-01-27 16:03:21] [Test] Test finished, loss: 0.2752, acc: 0.9294, time: 4.30s
[2019-01-27 16:03:25] [Train] Epoch 2, 10% 	 loss: 0.0045, acc: 1.0000, time: 4.21s
[2019-01-27 16:03:26] [Train] Epoch 2, 20% 	 loss: 0.0326, acc: 0.9922, time: 1.09s
[2019-01-27 16:03:27] [Train] Epoch 2, 30% 	 loss: 0.0087, acc: 1.0000, time: 1.09s
[2019-01-27 16:03:28] [Train] Epoch 2, 40% 	 loss: 0.0759, acc: 0.9844, time: 1.10s
[2019-01-27 16:03:29] [Train] Epoch 2, 51% 	 loss: 0.0196, acc: 0.9922, time: 1.10s
[2019-01-27 16:03:31] [Train] Epoch 2, 61% 	 loss: 0.1018, acc: 0.9688, time: 1.10s
[2019-01-27 16:03:32] [Train] Epoch 2, 71% 	 loss: 0.0334, acc: 0.9766, time: 1.11s
[2019-01-27 16:03:33] [Train] Epoch 2, 81% 	 loss: 0.0507, acc: 0.9688, time: 1.10s
[2019-01-27 16:03:34] [Train] Epoch 2, 92% 	 loss: 0.0041, acc: 1.0000, time: 1.10s
[2019-01-27 16:03:35] [Test] Beginning with test with 57 batches
[2019-01-27 16:03:39] [Test] Test finished, loss: 0.2716, acc: 0.9327, time: 4.30s
[2019-01-27 16:03:44] [Train] Epoch 3, 10% 	 loss: 0.0091, acc: 1.0000, time: 4.50s
[2019-01-27 16:03:45] [Train] Epoch 3, 20% 	 loss: 0.0471, acc: 0.9844, time: 1.10s
[2019-01-27 16:03:46] [Train] Epoch 3, 30% 	 loss: 0.0083, acc: 1.0000, time: 1.10s
[2019-01-27 16:03:47] [Train] Epoch 3, 40% 	 loss: 0.0053, acc: 1.0000, time: 1.10s
[2019-01-27 16:03:48] [Train] Epoch 3, 51% 	 loss: 0.0127, acc: 0.9922, time: 1.14s
[2019-01-27 16:03:49] [Train] Epoch 3, 61% 	 loss: 0.0061, acc: 1.0000, time: 1.12s
[2019-01-27 16:03:50] [Train] Epoch 3, 71% 	 loss: 0.0118, acc: 1.0000, time: 1.11s
[2019-01-27 16:03:51] [Train] Epoch 3, 81% 	 loss: 0.0004, acc: 1.0000, time: 1.12s
[2019-01-27 16:03:53] [Train] Epoch 3, 92% 	 loss: 0.0298, acc: 0.9922, time: 1.10s
[2019-01-27 16:03:54] [Test] Beginning with test with 57 batches
[2019-01-27 16:03:58] [Test] Test finished, loss: 0.2332, acc: 0.9525, time: 4.33s
[2019-01-27 16:04:02] [Train] Epoch 4, 10% 	 loss: 0.0009, acc: 1.0000, time: 4.18s
[2019-01-27 16:04:03] [Train] Epoch 4, 20% 	 loss: 0.0323, acc: 0.9844, time: 1.10s
[2019-01-27 16:04:04] [Train] Epoch 4, 30% 	 loss: 0.0174, acc: 0.9922, time: 1.10s
[2019-01-27 16:04:05] [Train] Epoch 4, 40% 	 loss: 0.1310, acc: 0.9766, time: 1.10s
[2019-01-27 16:04:06] [Train] Epoch 4, 51% 	 loss: 0.0209, acc: 1.0000, time: 1.10s
[2019-01-27 16:04:08] [Train] Epoch 4, 61% 	 loss: 0.0121, acc: 0.9922, time: 1.10s
[2019-01-27 16:04:09] [Train] Epoch 4, 71% 	 loss: 0.0021, acc: 1.0000, time: 1.10s
[2019-01-27 16:04:10] [Train] Epoch 4, 81% 	 loss: 0.0012, acc: 1.0000, time: 1.10s
