[2019-01-23 22:59:10] Generating model graph visualization at results\20190123-225910\model ...
[2019-01-23 22:59:11] Using CUDA!
[2019-01-23 22:59:12] Loading data from data\sign_mnist_train.npy ...
[2019-01-23 22:59:12] Loading data from data\sign_mnist_test.npy ...
[2019-01-23 22:59:12] Training model...
[2019-01-23 22:59:12] ===== HYPERPARAMETERS =====
[2019-01-23 22:59:12] batch_size= 512
[2019-01-23 22:59:12] epochs= 30
[2019-01-23 22:59:12] learning_rate= 0.001
[2019-01-23 22:59:12] ==============================
[2019-01-23 22:59:12] [Test] Beginning with test with 15 batches
[2019-01-23 22:59:17] [Test] Test finished, loss: 3.2215, acc: 0.0432, time: 4.63s
[2019-01-23 22:59:21] [Train] Epoch 1, 11% 	 loss: 3.2340, acc: 0.0508, time: 4.11s
[2019-01-23 22:59:21] [Train] Epoch 1, 22% 	 loss: 3.2248, acc: 0.0449, time: 0.50s
[2019-01-23 22:59:22] [Train] Epoch 1, 33% 	 loss: 3.1952, acc: 0.0469, time: 0.51s
[2019-01-23 22:59:22] [Train] Epoch 1, 44% 	 loss: 3.1796, acc: 0.0625, time: 0.50s
[2019-01-23 22:59:23] [Train] Epoch 1, 55% 	 loss: 3.0582, acc: 0.0918, time: 0.50s
[2019-01-23 22:59:23] [Train] Epoch 1, 66% 	 loss: 3.0430, acc: 0.0898, time: 0.50s
[2019-01-23 22:59:24] [Train] Epoch 1, 77% 	 loss: 2.8835, acc: 0.1484, time: 0.50s
[2019-01-23 22:59:24] [Train] Epoch 1, 88% 	 loss: 2.7705, acc: 0.1680, time: 0.50s
[2019-01-23 22:59:25] [Train] Epoch 1, 100% 	 loss: 2.6858, acc: 0.1818, time: 0.48s
[2019-01-23 22:59:25] [Test] Beginning with test with 15 batches
[2019-01-23 22:59:29] [Test] Test finished, loss: 2.2492, acc: 0.3659, time: 3.76s
[2019-01-23 22:59:33] [Train] Epoch 2, 11% 	 loss: 2.6069, acc: 0.1973, time: 4.15s
[2019-01-23 22:59:33] [Train] Epoch 2, 22% 	 loss: 2.5648, acc: 0.1992, time: 0.50s
[2019-01-23 22:59:34] [Train] Epoch 2, 33% 	 loss: 2.4670, acc: 0.2461, time: 0.50s
[2019-01-23 22:59:34] [Train] Epoch 2, 44% 	 loss: 2.3190, acc: 0.2832, time: 0.51s
[2019-01-23 22:59:35] [Train] Epoch 2, 55% 	 loss: 2.1976, acc: 0.3223, time: 0.50s
[2019-01-23 22:59:35] [Train] Epoch 2, 66% 	 loss: 2.1504, acc: 0.3164, time: 0.50s
[2019-01-23 22:59:36] [Train] Epoch 2, 77% 	 loss: 2.0564, acc: 0.3496, time: 0.51s
[2019-01-23 22:59:37] [Train] Epoch 2, 88% 	 loss: 1.8769, acc: 0.3926, time: 0.51s
[2019-01-23 22:59:37] [Train] Epoch 2, 100% 	 loss: 1.8467, acc: 0.3856, time: 0.48s
[2019-01-23 22:59:37] [Test] Beginning with test with 15 batches
[2019-01-23 22:59:41] [Test] Test finished, loss: 1.1443, acc: 0.7066, time: 3.75s
[2019-01-23 22:59:45] [Train] Epoch 3, 11% 	 loss: 1.8470, acc: 0.4062, time: 4.14s
[2019-01-23 22:59:46] [Train] Epoch 3, 22% 	 loss: 1.7830, acc: 0.4023, time: 0.50s
[2019-01-23 22:59:46] [Train] Epoch 3, 33% 	 loss: 1.6137, acc: 0.4570, time: 0.51s
[2019-01-23 22:59:47] [Train] Epoch 3, 44% 	 loss: 1.5762, acc: 0.4805, time: 0.51s
[2019-01-23 22:59:47] [Train] Epoch 3, 55% 	 loss: 1.4813, acc: 0.5156, time: 0.51s
[2019-01-23 22:59:48] [Train] Epoch 3, 66% 	 loss: 1.5156, acc: 0.4941, time: 0.50s
[2019-01-23 22:59:48] [Train] Epoch 3, 77% 	 loss: 1.3284, acc: 0.5684, time: 0.50s
[2019-01-23 22:59:49] [Train] Epoch 3, 88% 	 loss: 1.5253, acc: 0.5020, time: 0.50s
[2019-01-23 22:59:49] [Train] Epoch 3, 100% 	 loss: 1.3356, acc: 0.5141, time: 0.48s
[2019-01-23 22:59:49] [Test] Beginning with test with 15 batches
[2019-01-23 22:59:53] [Test] Test finished, loss: 0.5627, acc: 0.8585, time: 3.89s
[2019-01-23 22:59:58] [Train] Epoch 4, 11% 	 loss: 1.3219, acc: 0.5488, time: 4.62s
[2019-01-23 22:59:58] [Train] Epoch 4, 22% 	 loss: 1.3194, acc: 0.5547, time: 0.50s
[2019-01-23 22:59:59] [Train] Epoch 4, 33% 	 loss: 1.2424, acc: 0.6035, time: 0.51s
[2019-01-23 22:59:59] [Train] Epoch 4, 44% 	 loss: 1.2239, acc: 0.5977, time: 0.50s
[2019-01-23 23:00:00] [Train] Epoch 4, 55% 	 loss: 1.1626, acc: 0.6133, time: 0.52s
