[2019-01-23 22:27:00] Generating model graph visualization at results\20190123-222700\model ...
[2019-01-23 22:27:00] Using CUDA!
[2019-01-23 22:27:01] Loading data from data\sign_mnist_train.npy ...
[2019-01-23 22:27:02] Loading data from data\sign_mnist_test.npy ...
[2019-01-23 22:27:02] Training model...
[2019-01-23 22:27:02] ===== HYPERPARAMETERS =====
[2019-01-23 22:27:02] batch_size= 512
[2019-01-23 22:27:02] epochs= 20
[2019-01-23 22:27:02] learning_rate= 0.001
[2019-01-23 22:27:02] ==============================
[2019-01-23 22:27:02] [Test] Beginning with test with 15 batches
[2019-01-23 22:27:06] [Test] Test finished, loss: 3.2218, acc: 0.0406, time: 4.58s
[2019-01-23 22:27:10] [Train] Epoch 1, 11% 	 loss: 3.2440, acc: 0.0410, time: 4.15s
[2019-01-23 22:27:11] [Train] Epoch 1, 22% 	 loss: 3.2119, acc: 0.0508, time: 0.50s
[2019-01-23 22:27:11] [Train] Epoch 1, 33% 	 loss: 3.2249, acc: 0.0625, time: 0.51s
[2019-01-23 22:27:12] [Train] Epoch 1, 44% 	 loss: 3.1371, acc: 0.0820, time: 0.51s
[2019-01-23 22:27:13] [Train] Epoch 1, 55% 	 loss: 3.0878, acc: 0.0957, time: 0.50s
[2019-01-23 22:27:13] [Train] Epoch 1, 66% 	 loss: 2.9615, acc: 0.1133, time: 0.51s
[2019-01-23 22:27:14] [Train] Epoch 1, 77% 	 loss: 2.8419, acc: 0.1367, time: 0.50s
[2019-01-23 22:27:14] [Train] Epoch 1, 88% 	 loss: 2.5912, acc: 0.2285, time: 0.51s
[2019-01-23 22:27:15] [Train] Epoch 1, 100% 	 loss: 2.4689, acc: 0.2288, time: 0.48s
[2019-01-23 22:27:15] [Test] Beginning with test with 15 batches
[2019-01-23 22:27:19] [Test] Test finished, loss: 2.0178, acc: 0.4438, time: 3.86s
[2019-01-23 22:27:23] [Train] Epoch 2, 11% 	 loss: 2.3798, acc: 0.2559, time: 4.24s
[2019-01-23 22:27:23] [Train] Epoch 2, 22% 	 loss: 2.1024, acc: 0.3477, time: 0.52s
[2019-01-23 22:27:24] [Train] Epoch 2, 33% 	 loss: 1.9381, acc: 0.3516, time: 0.53s
[2019-01-23 22:27:24] [Train] Epoch 2, 44% 	 loss: 1.7838, acc: 0.4121, time: 0.52s
[2019-01-23 22:27:25] [Train] Epoch 2, 55% 	 loss: 1.7096, acc: 0.4668, time: 0.52s
[2019-01-23 22:27:25] [Train] Epoch 2, 66% 	 loss: 1.5292, acc: 0.4863, time: 0.52s
[2019-01-23 22:27:26] [Train] Epoch 2, 77% 	 loss: 1.5831, acc: 0.4824, time: 0.52s
[2019-01-23 22:27:26] [Train] Epoch 2, 88% 	 loss: 1.4099, acc: 0.5391, time: 0.53s
[2019-01-23 22:27:27] [Train] Epoch 2, 100% 	 loss: 1.2621, acc: 0.5674, time: 0.50s
[2019-01-23 22:27:27] [Test] Beginning with test with 15 batches
[2019-01-23 22:27:31] [Test] Test finished, loss: 0.5990, acc: 0.8409, time: 3.90s
[2019-01-23 22:27:35] [Train] Epoch 3, 11% 	 loss: 1.3001, acc: 0.5664, time: 4.20s
[2019-01-23 22:27:36] [Train] Epoch 3, 22% 	 loss: 1.2002, acc: 0.5742, time: 0.51s
[2019-01-23 22:27:36] [Train] Epoch 3, 33% 	 loss: 0.9995, acc: 0.6738, time: 0.52s
[2019-01-23 22:27:37] [Train] Epoch 3, 44% 	 loss: 0.9667, acc: 0.6348, time: 0.52s
[2019-01-23 22:27:37] [Train] Epoch 3, 55% 	 loss: 0.8686, acc: 0.7031, time: 0.51s
[2019-01-23 22:27:38] [Train] Epoch 3, 66% 	 loss: 0.8866, acc: 0.6836, time: 0.51s
[2019-01-23 22:27:38] [Train] Epoch 3, 77% 	 loss: 0.8273, acc: 0.7363, time: 0.51s
[2019-01-23 22:27:39] [Train] Epoch 3, 88% 	 loss: 0.7791, acc: 0.7383, time: 0.51s
[2019-01-23 22:27:39] [Train] Epoch 3, 100% 	 loss: 0.7756, acc: 0.7398, time: 0.48s
[2019-01-23 22:27:40] [Test] Beginning with test with 15 batches
[2019-01-23 22:27:44] [Test] Test finished, loss: 0.2479, acc: 0.9413, time: 3.94s
[2019-01-23 22:27:48] [Train] Epoch 4, 11% 	 loss: 0.6977, acc: 0.7676, time: 4.20s
[2019-01-23 22:27:48] [Train] Epoch 4, 22% 	 loss: 0.6679, acc: 0.7676, time: 0.52s
[2019-01-23 22:27:49] [Train] Epoch 4, 33% 	 loss: 0.6348, acc: 0.7754, time: 0.52s
[2019-01-23 22:27:49] [Train] Epoch 4, 44% 	 loss: 0.6073, acc: 0.7969, time: 0.52s
[2019-01-23 22:27:50] [Train] Epoch 4, 55% 	 loss: 0.5179, acc: 0.8242, time: 0.51s
[2019-01-23 22:27:50] [Train] Epoch 4, 66% 	 loss: 0.6229, acc: 0.7812, time: 0.52s
[2019-01-23 22:27:51] [Train] Epoch 4, 77% 	 loss: 0.5874, acc: 0.8164, time: 0.51s
[2019-01-23 22:27:51] [Train] Epoch 4, 88% 	 loss: 0.5673, acc: 0.8027, time: 0.51s
[2019-01-23 22:27:52] [Train] Epoch 4, 100% 	 loss: 0.4714, acc: 0.8370, time: 0.50s
[2019-01-23 22:27:52] [Test] Beginning with test with 15 batches
[2019-01-23 22:27:56] [Test] Test finished, loss: 0.1053, acc: 0.9718, time: 3.83s
[2019-01-23 22:28:00] [Train] Epoch 5, 11% 	 loss: 0.4350, acc: 0.8594, time: 4.29s
[2019-01-23 22:28:01] [Train] Epoch 5, 22% 	 loss: 0.4044, acc: 0.8613, time: 0.51s
[2019-01-23 22:28:01] [Train] Epoch 5, 33% 	 loss: 0.4410, acc: 0.8438, time: 0.52s
