[2019-01-22 20:01:45] Loading data from data\sign_mnist_train.npy ...
[2019-01-22 20:01:45] Loading data from data\sign_mnist_test.npy ...
[2019-01-22 20:01:45] Generating model graph visualization at results\20190122-200145\model ...
[2019-01-22 20:01:45] Using CUDA!
[2019-01-22 20:01:47] Training model...
[2019-01-22 20:01:47] ===== HYPERPARAMETERS =====
[2019-01-22 20:01:47] batch_size= 256
[2019-01-22 20:01:47] epochs= 20
[2019-01-22 20:01:47] learning_rate= 0.001
[2019-01-22 20:01:47] ==============================
[2019-01-22 20:01:47] [Test] Beginning with test with 29 batches
[2019-01-22 20:01:51] [Test] Test finished, loss: 3.2240, acc: 0.0371, time: 4.42s
[2019-01-22 20:01:55] [Train] Epoch 1, 10% 	 loss: 3.2382, acc: 0.0195, time: 3.90s
[2019-01-22 20:01:55] [Train] Epoch 1, 20% 	 loss: 3.1912, acc: 0.0508, time: 0.13s
[2019-01-22 20:01:55] [Train] Epoch 1, 30% 	 loss: 3.1407, acc: 0.0898, time: 0.13s
[2019-01-22 20:01:55] [Train] Epoch 1, 40% 	 loss: 3.1018, acc: 0.0742, time: 0.13s
[2019-01-22 20:01:56] [Train] Epoch 1, 50% 	 loss: 3.0468, acc: 0.1016, time: 0.13s
[2019-01-22 20:01:56] [Train] Epoch 1, 61% 	 loss: 2.8669, acc: 0.1523, time: 0.13s
[2019-01-22 20:01:56] [Train] Epoch 1, 71% 	 loss: 2.7169, acc: 0.1602, time: 0.13s
[2019-01-22 20:01:56] [Train] Epoch 1, 81% 	 loss: 2.5123, acc: 0.2070, time: 0.13s
[2019-01-22 20:01:56] [Train] Epoch 1, 91% 	 loss: 2.3471, acc: 0.2344, time: 0.13s
[2019-01-22 20:01:56] [Test] Beginning with test with 29 batches
[2019-01-22 20:02:00] [Test] Test finished, loss: 1.7102, acc: 0.6174, time: 3.60s
[2019-01-22 20:02:04] [Train] Epoch 2, 10% 	 loss: 2.2264, acc: 0.2891, time: 3.85s
[2019-01-22 20:02:04] [Train] Epoch 2, 20% 	 loss: 2.1237, acc: 0.3281, time: 0.14s
[2019-01-22 20:02:04] [Train] Epoch 2, 30% 	 loss: 1.9674, acc: 0.3672, time: 0.13s
[2019-01-22 20:02:04] [Train] Epoch 2, 40% 	 loss: 1.9340, acc: 0.3906, time: 0.13s
[2019-01-22 20:02:04] [Train] Epoch 2, 50% 	 loss: 1.7756, acc: 0.3945, time: 0.13s
[2019-01-22 20:02:05] [Train] Epoch 2, 61% 	 loss: 1.8813, acc: 0.3633, time: 0.13s
[2019-01-22 20:02:05] [Train] Epoch 2, 71% 	 loss: 1.6981, acc: 0.4141, time: 0.13s
[2019-01-22 20:02:05] [Train] Epoch 2, 81% 	 loss: 1.5080, acc: 0.5234, time: 0.13s
[2019-01-22 20:02:05] [Train] Epoch 2, 91% 	 loss: 1.6064, acc: 0.4180, time: 0.13s
[2019-01-22 20:02:05] [Test] Beginning with test with 29 batches
[2019-01-22 20:02:09] [Test] Test finished, loss: 0.7967, acc: 0.8371, time: 3.56s
[2019-01-22 20:02:13] [Train] Epoch 3, 10% 	 loss: 1.4886, acc: 0.4336, time: 3.81s
[2019-01-22 20:02:13] [Train] Epoch 3, 20% 	 loss: 1.4712, acc: 0.5156, time: 0.13s
[2019-01-22 20:02:13] [Train] Epoch 3, 30% 	 loss: 1.4930, acc: 0.4688, time: 0.13s
[2019-01-22 20:02:13] [Train] Epoch 3, 40% 	 loss: 1.3497, acc: 0.5078, time: 0.13s
[2019-01-22 20:02:13] [Train] Epoch 3, 50% 	 loss: 1.4060, acc: 0.5039, time: 0.13s
[2019-01-22 20:02:13] [Train] Epoch 3, 61% 	 loss: 1.3960, acc: 0.4805, time: 0.13s
[2019-01-22 20:02:13] [Train] Epoch 3, 71% 	 loss: 1.1740, acc: 0.5742, time: 0.13s
[2019-01-22 20:02:14] [Train] Epoch 3, 81% 	 loss: 1.4126, acc: 0.5078, time: 0.13s
[2019-01-22 20:02:14] [Train] Epoch 3, 91% 	 loss: 1.2563, acc: 0.5234, time: 0.13s
[2019-01-22 20:02:14] [Test] Beginning with test with 29 batches
[2019-01-22 20:02:18] [Test] Test finished, loss: 0.5134, acc: 0.9035, time: 3.56s
[2019-01-22 20:02:21] [Train] Epoch 4, 10% 	 loss: 1.0850, acc: 0.5820, time: 3.81s
[2019-01-22 20:02:22] [Train] Epoch 4, 20% 	 loss: 1.0389, acc: 0.6445, time: 0.13s
[2019-01-22 20:02:22] [Train] Epoch 4, 30% 	 loss: 1.1180, acc: 0.5898, time: 0.13s
[2019-01-22 20:02:22] [Train] Epoch 4, 40% 	 loss: 1.1491, acc: 0.5625, time: 0.13s
[2019-01-22 20:02:22] [Train] Epoch 4, 50% 	 loss: 1.1795, acc: 0.5586, time: 0.13s
[2019-01-22 20:02:22] [Train] Epoch 4, 61% 	 loss: 1.1399, acc: 0.5742, time: 0.13s
[2019-01-22 20:02:22] [Train] Epoch 4, 71% 	 loss: 1.1117, acc: 0.6016, time: 0.13s
[2019-01-22 20:02:22] [Train] Epoch 4, 81% 	 loss: 1.1286, acc: 0.5703, time: 0.13s
[2019-01-22 20:02:22] [Train] Epoch 4, 91% 	 loss: 1.0378, acc: 0.6094, time: 0.13s
[2019-01-22 20:02:23] [Test] Beginning with test with 29 batches
[2019-01-22 20:02:26] [Test] Test finished, loss: 0.3342, acc: 0.9262, time: 3.50s
[2019-01-22 20:02:30] [Train] Epoch 5, 10% 	 loss: 1.0838, acc: 0.6016, time: 3.83s
[2019-01-22 20:02:30] [Train] Epoch 5, 20% 	 loss: 0.9771, acc: 0.6172, time: 0.13s
[2019-01-22 20:02:30] [Train] Epoch 5, 30% 	 loss: 1.0371, acc: 0.6094, time: 0.13s
