[2019-01-22 23:16:21] Loading data from data\sign_mnist_train.npy ...
[2019-01-22 23:16:21] Loading data from data\sign_mnist_test.npy ...
[2019-01-22 23:16:21] Generating model graph visualization at results\20190122-231621\model ...
[2019-01-22 23:16:22] Using CUDA!
[2019-01-22 23:16:23] Training model...
[2019-01-22 23:16:23] ===== HYPERPARAMETERS =====
[2019-01-22 23:16:23] batch_size= 512
[2019-01-22 23:16:23] epochs= 20
[2019-01-22 23:16:23] learning_rate= 0.001
[2019-01-22 23:16:23] ==============================
[2019-01-22 23:16:23] [Test] Beginning with test with 15 batches
[2019-01-22 23:16:28] [Test] Test finished, loss: 3.2187, acc: 0.0484, time: 4.63s
[2019-01-22 23:16:32] [Train] Epoch 1, 11% 	 loss: 3.2207, acc: 0.0391, time: 4.14s
[2019-01-22 23:16:32] [Train] Epoch 1, 22% 	 loss: 3.2040, acc: 0.0586, time: 0.46s
[2019-01-22 23:16:33] [Train] Epoch 1, 33% 	 loss: 3.2015, acc: 0.0547, time: 0.46s
[2019-01-22 23:16:33] [Train] Epoch 1, 44% 	 loss: 3.1383, acc: 0.0801, time: 0.46s
[2019-01-22 23:16:34] [Train] Epoch 1, 55% 	 loss: 2.9989, acc: 0.1309, time: 0.46s
[2019-01-22 23:16:34] [Train] Epoch 1, 66% 	 loss: 2.9738, acc: 0.1406, time: 0.46s
[2019-01-22 23:16:35] [Train] Epoch 1, 77% 	 loss: 2.8096, acc: 0.1562, time: 0.46s
[2019-01-22 23:16:35] [Train] Epoch 1, 88% 	 loss: 2.5761, acc: 0.2051, time: 0.46s
[2019-01-22 23:16:35] [Train] Epoch 1, 100% 	 loss: 2.4109, acc: 0.2696, time: 0.43s
[2019-01-22 23:16:36] [Test] Beginning with test with 15 batches
[2019-01-22 23:16:40] [Test] Test finished, loss: 2.0587, acc: 0.4635, time: 3.83s
[2019-01-22 23:16:44] [Train] Epoch 2, 11% 	 loss: 2.3300, acc: 0.2793, time: 4.16s
[2019-01-22 23:16:44] [Train] Epoch 2, 22% 	 loss: 2.0900, acc: 0.3262, time: 0.46s
[2019-01-22 23:16:45] [Train] Epoch 2, 33% 	 loss: 2.0208, acc: 0.3359, time: 0.46s
[2019-01-22 23:16:45] [Train] Epoch 2, 44% 	 loss: 1.8852, acc: 0.4102, time: 0.46s
[2019-01-22 23:16:45] [Train] Epoch 2, 55% 	 loss: 1.7750, acc: 0.4258, time: 0.45s
[2019-01-22 23:16:46] [Train] Epoch 2, 66% 	 loss: 1.7060, acc: 0.4316, time: 0.46s
[2019-01-22 23:16:46] [Train] Epoch 2, 77% 	 loss: 1.6040, acc: 0.4609, time: 0.45s
[2019-01-22 23:16:47] [Train] Epoch 2, 88% 	 loss: 1.3932, acc: 0.5449, time: 0.47s
[2019-01-22 23:16:47] [Train] Epoch 2, 100% 	 loss: 1.2885, acc: 0.5266, time: 0.43s
[2019-01-22 23:16:48] [Test] Beginning with test with 15 batches
[2019-01-22 23:16:51] [Test] Test finished, loss: 0.6064, acc: 0.8437, time: 3.83s
[2019-01-22 23:16:56] [Train] Epoch 3, 11% 	 loss: 1.1635, acc: 0.6094, time: 4.16s
[2019-01-22 23:16:56] [Train] Epoch 3, 22% 	 loss: 1.1955, acc: 0.6133, time: 0.45s
[2019-01-22 23:16:56] [Train] Epoch 3, 33% 	 loss: 1.0370, acc: 0.6543, time: 0.46s
[2019-01-22 23:16:57] [Train] Epoch 3, 44% 	 loss: 1.0571, acc: 0.6738, time: 0.47s
[2019-01-22 23:16:57] [Train] Epoch 3, 55% 	 loss: 1.0126, acc: 0.6543, time: 0.46s
