[2019-01-22 21:00:51] Loading data from data\sign_mnist_train.npy ...
[2019-01-22 21:00:51] Loading data from data\sign_mnist_test.npy ...
[2019-01-22 21:00:51] Generating model graph visualization at results\20190122-210051\model ...
[2019-01-22 21:00:52] Using CUDA!
[2019-01-22 21:00:53] Training model...
[2019-01-22 21:00:53] ===== HYPERPARAMETERS =====
[2019-01-22 21:00:53] batch_size= 256
[2019-01-22 21:00:53] epochs= 20
[2019-01-22 21:00:53] learning_rate= 0.001
[2019-01-22 21:00:53] ==============================
[2019-01-22 21:00:53] [Test] Beginning with test with 29 batches
[2019-01-22 21:00:57] [Test] Test finished, loss: 3.2132, acc: 0.0494, time: 4.46s
[2019-01-22 21:01:01] [Train] Epoch 1, 10% 	 loss: 3.2271, acc: 0.0391, time: 3.97s
[2019-01-22 21:01:02] [Train] Epoch 1, 20% 	 loss: 3.2142, acc: 0.0508, time: 0.43s
[2019-01-22 21:01:02] [Train] Epoch 1, 30% 	 loss: 3.1649, acc: 0.0781, time: 0.43s
[2019-01-22 21:01:03] [Train] Epoch 1, 40% 	 loss: 3.0789, acc: 0.0742, time: 0.42s
[2019-01-22 21:01:03] [Train] Epoch 1, 50% 	 loss: 2.8511, acc: 0.1719, time: 0.42s
[2019-01-22 21:01:03] [Train] Epoch 1, 61% 	 loss: 2.7920, acc: 0.1875, time: 0.42s
[2019-01-22 21:01:04] [Train] Epoch 1, 71% 	 loss: 2.6312, acc: 0.1914, time: 0.42s
[2019-01-22 21:01:04] [Train] Epoch 1, 81% 	 loss: 2.3001, acc: 0.2656, time: 0.42s
[2019-01-22 21:01:05] [Train] Epoch 1, 91% 	 loss: 1.9164, acc: 0.3711, time: 0.42s
[2019-01-22 21:01:05] [Test] Beginning with test with 29 batches
[2019-01-22 21:01:09] [Test] Test finished, loss: 1.3277, acc: 0.7276, time: 3.84s
[2019-01-22 21:01:13] [Train] Epoch 2, 10% 	 loss: 1.7691, acc: 0.4336, time: 4.03s
[2019-01-22 21:01:13] [Train] Epoch 2, 20% 	 loss: 1.6391, acc: 0.4609, time: 0.43s
[2019-01-22 21:01:14] [Train] Epoch 2, 30% 	 loss: 1.6357, acc: 0.4180, time: 0.43s
[2019-01-22 21:01:14] [Train] Epoch 2, 40% 	 loss: 1.4007, acc: 0.5547, time: 0.43s
[2019-01-22 21:01:15] [Train] Epoch 2, 50% 	 loss: 1.4805, acc: 0.4922, time: 0.43s
[2019-01-22 21:01:15] [Train] Epoch 2, 61% 	 loss: 1.1158, acc: 0.6133, time: 0.43s
[2019-01-22 21:01:16] [Train] Epoch 2, 71% 	 loss: 1.1103, acc: 0.6016, time: 0.43s
[2019-01-22 21:01:16] [Train] Epoch 2, 81% 	 loss: 1.1627, acc: 0.5898, time: 0.43s
[2019-01-22 21:01:16] [Train] Epoch 2, 91% 	 loss: 0.9387, acc: 0.6484, time: 0.43s
[2019-01-22 21:01:17] [Test] Beginning with test with 29 batches
[2019-01-22 21:01:21] [Test] Test finished, loss: 0.3416, acc: 0.9307, time: 3.78s
[2019-01-22 21:01:25] [Train] Epoch 3, 10% 	 loss: 0.8438, acc: 0.6953, time: 4.20s
[2019-01-22 21:01:25] [Train] Epoch 3, 20% 	 loss: 0.9001, acc: 0.6641, time: 0.45s
[2019-01-22 21:01:26] [Train] Epoch 3, 30% 	 loss: 0.9384, acc: 0.6797, time: 0.45s
