[2019-01-22 16:20:13] Loading data from data\sign_mnist_train.npy ...
[2019-01-22 16:20:13] Loading data from data\sign_mnist_test.npy ...
[2019-01-22 16:20:14] Generating model graph visualization at results\20190122-162013\model ...
[2019-01-22 16:20:14] Using CUDA!
[2019-01-22 16:20:15] Training model...
[2019-01-22 16:20:15] ===== HYPERPARAMETERS =====
[2019-01-22 16:20:15] batch_size= 256
[2019-01-22 16:20:15] epochs= 20
[2019-01-22 16:20:15] learning_rate= 0.001
[2019-01-22 16:20:15] ==============================
[2019-01-22 16:20:15] [Test] Beginning with test with 29 batches
[2019-01-22 16:20:20] [Test] Test finished, loss: 3.2155, acc: 0.0344, time: 4.59s
[2019-01-22 16:20:24] [Train] Epoch 1, 10% 	 loss: 3.1462, acc: 0.0664, time: 4.15s
[2019-01-22 16:20:24] [Train] Epoch 1, 20% 	 loss: 2.7688, acc: 0.1719, time: 0.54s
[2019-01-22 16:20:25] [Train] Epoch 1, 30% 	 loss: 2.5521, acc: 0.2109, time: 0.54s
[2019-01-22 16:20:25] [Train] Epoch 1, 40% 	 loss: 2.1783, acc: 0.3516, time: 0.53s
[2019-01-22 16:20:26] [Train] Epoch 1, 50% 	 loss: 1.9842, acc: 0.3477, time: 0.53s
[2019-01-22 16:20:26] [Train] Epoch 1, 61% 	 loss: 1.7790, acc: 0.4609, time: 0.54s
[2019-01-22 16:20:27] [Train] Epoch 1, 71% 	 loss: 1.6567, acc: 0.4805, time: 0.54s
[2019-01-22 16:20:27] [Train] Epoch 1, 81% 	 loss: 1.3520, acc: 0.5703, time: 0.54s
[2019-01-22 16:20:28] [Train] Epoch 1, 91% 	 loss: 1.2701, acc: 0.6289, time: 0.53s
[2019-01-22 16:20:29] [Test] Beginning with test with 29 batches
[2019-01-22 16:20:32] [Test] Test finished, loss: 0.7446, acc: 0.8589, time: 3.81s
[2019-01-22 16:20:37] [Train] Epoch 2, 10% 	 loss: 1.1107, acc: 0.6719, time: 4.10s
[2019-01-22 16:20:37] [Train] Epoch 2, 20% 	 loss: 0.9916, acc: 0.6875, time: 0.53s
[2019-01-22 16:20:38] [Train] Epoch 2, 30% 	 loss: 0.9595, acc: 0.6836, time: 0.54s
[2019-01-22 16:20:38] [Train] Epoch 2, 40% 	 loss: 0.8398, acc: 0.7578, time: 0.53s
[2019-01-22 16:20:39] [Train] Epoch 2, 50% 	 loss: 0.7290, acc: 0.7500, time: 0.53s
[2019-01-22 16:20:39] [Train] Epoch 2, 61% 	 loss: 0.7462, acc: 0.7383, time: 0.54s
[2019-01-22 16:20:40] [Train] Epoch 2, 71% 	 loss: 0.6448, acc: 0.7617, time: 0.54s
[2019-01-22 16:20:40] [Train] Epoch 2, 81% 	 loss: 0.4989, acc: 0.8477, time: 0.53s
[2019-01-22 16:20:41] [Train] Epoch 2, 91% 	 loss: 0.4543, acc: 0.8633, time: 0.53s
[2019-01-22 16:20:41] [Test] Beginning with test with 29 batches
[2019-01-22 16:20:45] [Test] Test finished, loss: 0.2614, acc: 0.9265, time: 3.81s
[2019-01-22 16:20:49] [Train] Epoch 3, 10% 	 loss: 0.4114, acc: 0.8633, time: 4.15s
[2019-01-22 16:20:50] [Train] Epoch 3, 20% 	 loss: 0.4869, acc: 0.8438, time: 0.53s
[2019-01-22 16:20:50] [Train] Epoch 3, 30% 	 loss: 0.4074, acc: 0.8555, time: 0.53s
[2019-01-22 16:20:51] [Train] Epoch 3, 40% 	 loss: 0.3621, acc: 0.8711, time: 0.53s
[2019-01-22 16:20:52] [Train] Epoch 3, 50% 	 loss: 0.3737, acc: 0.8906, time: 0.53s
[2019-01-22 16:20:52] [Train] Epoch 3, 61% 	 loss: 0.3571, acc: 0.9062, time: 0.53s
[2019-01-22 16:20:53] [Train] Epoch 3, 71% 	 loss: 0.3033, acc: 0.9141, time: 0.54s
[2019-01-22 16:20:53] [Train] Epoch 3, 81% 	 loss: 0.2579, acc: 0.9141, time: 0.54s
[2019-01-22 16:20:54] [Train] Epoch 3, 91% 	 loss: 0.2320, acc: 0.9414, time: 0.54s
[2019-01-22 16:20:54] [Test] Beginning with test with 29 batches
[2019-01-22 16:20:58] [Test] Test finished, loss: 0.0829, acc: 0.9808, time: 3.80s
[2019-01-22 16:21:02] [Train] Epoch 4, 10% 	 loss: 0.2883, acc: 0.9102, time: 4.08s
[2019-01-22 16:21:03] [Train] Epoch 4, 20% 	 loss: 0.2515, acc: 0.9336, time: 0.53s
[2019-01-22 16:21:03] [Train] Epoch 4, 30% 	 loss: 0.2571, acc: 0.9336, time: 0.54s
[2019-01-22 16:21:04] [Train] Epoch 4, 40% 	 loss: 0.2648, acc: 0.9219, time: 0.53s
[2019-01-22 16:21:04] [Train] Epoch 4, 50% 	 loss: 0.1954, acc: 0.9297, time: 0.55s
[2019-01-22 16:21:05] [Train] Epoch 4, 61% 	 loss: 0.2168, acc: 0.9414, time: 0.54s
[2019-01-22 16:21:05] [Train] Epoch 4, 71% 	 loss: 0.1808, acc: 0.9648, time: 0.53s
[2019-01-22 16:21:06] [Train] Epoch 4, 81% 	 loss: 0.1924, acc: 0.9375, time: 0.53s
[2019-01-22 16:21:07] [Train] Epoch 4, 91% 	 loss: 0.2239, acc: 0.8984, time: 0.53s
[2019-01-22 16:21:07] [Test] Beginning with test with 29 batches
[2019-01-22 16:21:11] [Test] Test finished, loss: 0.0630, acc: 0.9753, time: 3.81s
[2019-01-22 16:21:15] [Train] Epoch 5, 10% 	 loss: 0.1926, acc: 0.9336, time: 4.12s
[2019-01-22 16:21:16] [Train] Epoch 5, 20% 	 loss: 0.1866, acc: 0.9492, time: 0.54s
[2019-01-22 16:21:16] [Train] Epoch 5, 30% 	 loss: 0.1591, acc: 0.9492, time: 0.53s
[2019-01-22 16:21:17] [Train] Epoch 5, 40% 	 loss: 0.1760, acc: 0.9570, time: 0.53s
[2019-01-22 16:21:17] [Train] Epoch 5, 50% 	 loss: 0.2197, acc: 0.9141, time: 0.53s
[2019-01-22 16:21:18] [Train] Epoch 5, 61% 	 loss: 0.1650, acc: 0.9375, time: 0.53s
[2019-01-22 16:21:18] [Train] Epoch 5, 71% 	 loss: 0.1502, acc: 0.9531, time: 0.54s
[2019-01-22 16:21:19] [Train] Epoch 5, 81% 	 loss: 0.1250, acc: 0.9570, time: 0.54s
[2019-01-22 16:21:19] [Train] Epoch 5, 91% 	 loss: 0.1593, acc: 0.9688, time: 0.54s
[2019-01-22 16:21:20] [Test] Beginning with test with 29 batches
[2019-01-22 16:21:24] [Test] Test finished, loss: 0.0382, acc: 0.9847, time: 3.78s
[2019-01-22 16:21:28] [Train] Epoch 6, 10% 	 loss: 0.1580, acc: 0.9531, time: 4.10s
[2019-01-22 16:21:28] [Train] Epoch 6, 20% 	 loss: 0.1181, acc: 0.9609, time: 0.54s
[2019-01-22 16:21:29] [Train] Epoch 6, 30% 	 loss: 0.1464, acc: 0.9531, time: 0.54s
[2019-01-22 16:21:29] [Train] Epoch 6, 40% 	 loss: 0.1480, acc: 0.9531, time: 0.54s
[2019-01-22 16:21:30] [Train] Epoch 6, 50% 	 loss: 0.1371, acc: 0.9609, time: 0.53s
[2019-01-22 16:21:31] [Train] Epoch 6, 61% 	 loss: 0.1666, acc: 0.9375, time: 0.53s
[2019-01-22 16:21:31] [Train] Epoch 6, 71% 	 loss: 0.1479, acc: 0.9531, time: 0.53s
[2019-01-22 16:21:32] [Train] Epoch 6, 81% 	 loss: 0.1377, acc: 0.9570, time: 0.53s
[2019-01-22 16:21:32] [Train] Epoch 6, 91% 	 loss: 0.0855, acc: 0.9688, time: 0.53s
[2019-01-22 16:21:33] [Test] Beginning with test with 29 batches
[2019-01-22 16:21:37] [Test] Test finished, loss: 0.0379, acc: 0.9883, time: 3.86s
[2019-01-22 16:21:41] [Train] Epoch 7, 10% 	 loss: 0.1283, acc: 0.9531, time: 4.17s
[2019-01-22 16:21:41] [Train] Epoch 7, 20% 	 loss: 0.1360, acc: 0.9648, time: 0.53s
[2019-01-22 16:21:42] [Train] Epoch 7, 30% 	 loss: 0.1725, acc: 0.9297, time: 0.53s
[2019-01-22 16:21:42] [Train] Epoch 7, 40% 	 loss: 0.0919, acc: 0.9688, time: 0.53s
[2019-01-22 16:21:43] [Train] Epoch 7, 50% 	 loss: 0.1363, acc: 0.9453, time: 0.53s
[2019-01-22 16:21:43] [Train] Epoch 7, 61% 	 loss: 0.1177, acc: 0.9492, time: 0.54s
[2019-01-22 16:21:44] [Train] Epoch 7, 71% 	 loss: 0.1205, acc: 0.9648, time: 0.54s
[2019-01-22 16:21:45] [Train] Epoch 7, 81% 	 loss: 0.1474, acc: 0.9570, time: 0.55s
[2019-01-22 16:21:45] [Train] Epoch 7, 91% 	 loss: 0.1041, acc: 0.9727, time: 0.54s
[2019-01-22 16:21:46] [Test] Beginning with test with 29 batches
[2019-01-22 16:21:50] [Test] Test finished, loss: 0.0575, acc: 0.9810, time: 3.83s
[2019-01-22 16:21:54] [Train] Epoch 8, 10% 	 loss: 0.0858, acc: 0.9766, time: 4.12s
[2019-01-22 16:21:54] [Train] Epoch 8, 20% 	 loss: 0.0680, acc: 0.9883, time: 0.54s
[2019-01-22 16:21:55] [Train] Epoch 8, 30% 	 loss: 0.1119, acc: 0.9648, time: 0.54s
