[2019-01-27 15:43:03] Generating model graph visualization at results\20190127-154303\model ...
[2019-01-27 15:43:04] Using CUDA!
[2019-01-27 15:43:05] Loading data from data\sign_mnist_train.npy ...
[2019-01-27 15:43:05] Loading data from data\sign_mnist_test.npy ...
[2019-01-27 15:43:05] Training model...
[2019-01-27 15:43:05] ===== HYPERPARAMETERS =====
[2019-01-27 15:43:05] batch_size= 128
[2019-01-27 15:43:05] epochs= 20
[2019-01-27 15:43:05] learning_rate= 0.001
[2019-01-27 15:43:05] ==============================
[2019-01-27 15:43:05] [Test] Beginning with test with 57 batches
[2019-01-27 15:43:10] [Test] Test finished, loss: 3.2094, acc: 0.0343, time: 4.31s
[2019-01-27 15:43:13] [Train] Epoch 1, 10% 	 loss: 3.2171, acc: 0.0469, time: 3.30s
[2019-01-27 15:43:13] [Train] Epoch 1, 20% 	 loss: 3.1326, acc: 0.0781, time: 0.16s
[2019-01-27 15:43:13] [Train] Epoch 1, 30% 	 loss: 2.9533, acc: 0.1328, time: 0.16s
[2019-01-27 15:43:13] [Train] Epoch 1, 40% 	 loss: 2.5654, acc: 0.2109, time: 0.15s
[2019-01-27 15:43:13] [Train] Epoch 1, 51% 	 loss: 2.2167, acc: 0.2734, time: 0.17s
[2019-01-27 15:43:14] [Train] Epoch 1, 61% 	 loss: 1.9968, acc: 0.3750, time: 0.16s
[2019-01-27 15:43:14] [Train] Epoch 1, 71% 	 loss: 1.7396, acc: 0.4688, time: 0.16s
[2019-01-27 15:43:14] [Train] Epoch 1, 81% 	 loss: 1.5089, acc: 0.5078, time: 0.15s
[2019-01-27 15:43:14] [Train] Epoch 1, 92% 	 loss: 1.3828, acc: 0.5625, time: 0.15s
[2019-01-27 15:43:14] [Test] Beginning with test with 57 batches
[2019-01-27 15:43:18] [Test] Test finished, loss: 1.5196, acc: 0.5093, time: 3.37s
[2019-01-27 15:43:21] [Train] Epoch 2, 10% 	 loss: 1.4543, acc: 0.5234, time: 3.23s
[2019-01-27 15:43:21] [Train] Epoch 2, 20% 	 loss: 1.3033, acc: 0.5547, time: 0.16s
[2019-01-27 15:43:21] [Train] Epoch 2, 30% 	 loss: 1.1434, acc: 0.6094, time: 0.16s
[2019-01-27 15:43:21] [Train] Epoch 2, 40% 	 loss: 0.9366, acc: 0.6641, time: 0.16s
[2019-01-27 15:43:22] [Train] Epoch 2, 51% 	 loss: 0.9424, acc: 0.6328, time: 0.17s
[2019-01-27 15:43:22] [Train] Epoch 2, 61% 	 loss: 1.0130, acc: 0.6484, time: 0.16s
[2019-01-27 15:43:22] [Train] Epoch 2, 71% 	 loss: 0.9990, acc: 0.6875, time: 0.16s
