[2019-01-27 15:50:08] Generating model graph visualization at results\20190127-155008\model ...
[2019-01-27 15:50:08] Using CUDA!
[2019-01-27 15:50:09] Loading data from data\sign_mnist_train.npy ...
[2019-01-27 15:50:09] Loading data from data\sign_mnist_test.npy ...
[2019-01-27 15:50:09] Training model...
[2019-01-27 15:50:09] ===== HYPERPARAMETERS =====
[2019-01-27 15:50:09] batch_size= 128
[2019-01-27 15:50:09] epochs= 50
[2019-01-27 15:50:09] learning_rate= 0.001
[2019-01-27 15:50:09] ==============================
[2019-01-27 15:50:09] [Test] Beginning with test with 57 batches
[2019-01-27 15:50:13] [Test] Test finished, loss: 3.2197, acc: 0.0229, time: 4.14s
[2019-01-27 15:50:17] [Train] Epoch 1, 10% 	 loss: 3.2063, acc: 0.0312, time: 3.29s
[2019-01-27 15:50:17] [Train] Epoch 1, 20% 	 loss: 3.1878, acc: 0.0781, time: 0.16s
[2019-01-27 15:50:17] [Train] Epoch 1, 30% 	 loss: 3.0109, acc: 0.1172, time: 0.16s
[2019-01-27 15:50:17] [Train] Epoch 1, 40% 	 loss: 2.6511, acc: 0.1797, time: 0.17s
[2019-01-27 15:50:17] [Train] Epoch 1, 51% 	 loss: 2.4888, acc: 0.2969, time: 0.15s
[2019-01-27 15:50:18] [Train] Epoch 1, 61% 	 loss: 2.1539, acc: 0.2891, time: 0.16s
[2019-01-27 15:50:18] [Train] Epoch 1, 71% 	 loss: 2.0040, acc: 0.3047, time: 0.16s
[2019-01-27 15:50:18] [Train] Epoch 1, 81% 	 loss: 1.9593, acc: 0.3281, time: 0.16s
[2019-01-27 15:50:18] [Train] Epoch 1, 92% 	 loss: 1.7253, acc: 0.4141, time: 0.16s
[2019-01-27 15:50:18] [Test] Beginning with test with 57 batches
[2019-01-27 15:50:22] [Test] Test finished, loss: 1.7081, acc: 0.4251, time: 3.37s
[2019-01-27 15:50:25] [Train] Epoch 2, 10% 	 loss: 1.4819, acc: 0.5312, time: 3.23s
[2019-01-27 15:50:25] [Train] Epoch 2, 20% 	 loss: 1.6771, acc: 0.4531, time: 0.16s
[2019-01-27 15:50:25] [Train] Epoch 2, 30% 	 loss: 1.4708, acc: 0.4453, time: 0.17s
[2019-01-27 15:50:25] [Train] Epoch 2, 40% 	 loss: 1.4569, acc: 0.5078, time: 0.15s
[2019-01-27 15:50:26] [Train] Epoch 2, 51% 	 loss: 1.3236, acc: 0.6172, time: 0.15s
